FD-REPOv1	Build time: 1645361091	Games	30
blkdrop	v0.1	A falling block game	d8fe4dd2
bolitare	0.62b	A Freecell card game	224feeb6
boom	2.02a	A GPL port of the Doom source code	5dbc91d6
dosdef	1.00a	DOS Defender is an x86 real mode 2D shooter	d61ee06b
eliza	1.01a	One of the earliest AI chatterbots	f9850151
empong	0.91a	A clone of the good old "Pong" game	52985e35
ev4de	1.2a	Fly a ship through space and avoid asteroids	3b6610b9
ewsnake	0.5a	A version of the classic snake game	23a4dbe0
flpybird	1.0a	Fly a bird through obstacles by tapping the spacebar on your keyboard.	ad292fd8
fmines	1.00a	A minesweeper-like game with themes	6a56b580
freedoom	3.30b	Doom source port derived from MBF and Boom	85fb87e3
gnuchess	4.0 patch 60 (rev A)	GNU Chess is a communal chess program	46f36a97
hangman	1.05b	Multilingual hangman	b173eadd
ivan	0.50a	A graphical rogue-like game	4f6b5e97
kraptor	Apr_2004 (rev A)	Open-source Raptor-like game with several levels	b36aaf4b
liquiwar	5.6.3a	A unique multiplayer wargame	5401d9b0
mirmagic	2.0.2a	An arcade style game like "Deflektor"	94e0c875
mistral	1.0	Espionage-themed turn-based retro RPG	beb32643
nethack	3.4.3a	Single player dungeon exploration game	d104b799
nge_nibb	0.1.0a	Version of the classic snake game	a2200bf9
noudar	1.2	A first person 2.5D dungeon-crawler	f71896d2
qtetris	1.4.1a	A clone of the TETRIS game, and tribute to the band Queen	b017ab63
sayswho	v0.1	A simple memory game.	0e2a1690
senet	1.0a	A very old game, dating back to ancient Egypt	3c5bee15
smiley	2021-11-10 alpha	A simple Pong-style game	a8feccfa
sudoku86	1.0.3a	A 16-bit Sudoku game for 8086/8088 CPUs	9e0d8f33
vertigo	0.26a	Flight simulator that focuses on realism of the flight model	10627770
vitetris	0.55a	A terminal-based Tetris clone	c303363a
wing	0.7a	A Galaga-like space shooter	31da5be0
zmiy	0.85.2a	A snake game for DOS and 8086	1ad03ce9
